Optimizador: ADAM
Schedule: Exponential
Número de épocas: 50
Fecha y horario de guardado: 2025-05-20_11-36-41
El mínimo valor de la función pérdida (0.013154839165508747) se obtuvo  con batch size = 195, step size = 0.03534757366121973, optimAux = (0.8999348009433792, 0.9265590741726595) y schAux = (49947.45605161048,).

Rangos de los hiperparámetros:
límite inferior,límite superior
2,200
-3.9999998,-0.99999994
0.85,0.99
0.9,0.9999
3.9999998,5.69897

Resultados:
batch size,step size,optimAux0,optimAux1,schAux0,loss
56,0.00012537519534578534,0.8893186266006756,0.9964738642314521,236075.30616780923,0.05732026
139,0.031756523450647015,0.8736441997217601,0.91355426496454,115873.94713626232,0.026824938
38,0.0001422896734948699,0.8685856587438887,0.9036397400842912,341758.1335683696,0.051113002
126,0.0011203049724753306,0.9462956272263127,0.9285566646604787,37291.37034370181,0.038034752
104,0.0025966452068070314,0.8514545635689564,0.9401328722146383,13329.515592463296,0.042047605
69,0.0009523063088729284,0.8832354864301708,0.9166841363149635,78859.91425839865,0.032060213
50,0.004285761335762613,0.8530877975290505,0.9471249568302789,26437.245350468795,0.029927762
158,0.002842980256940137,0.9300455828300901,0.9866284874002332,485223.15137752163,0.023130944
163,0.04959528959783242,0.8983226598030575,0.9889151893814982,64611.655582133666,0.024263656
88,0.0011917257920272567,0.9854018190734806,0.9188530606967596,83589.40094914022,0.03402756
186,0.0005913954569185849,0.8706460311741882,0.9211193822581849,144220.6661718396,0.0431787
190,0.0005449793695696973,0.9385693231663099,0.9384284231020663,27873.202236868103,0.049294468
148,0.00042111813205884027,0.916577093136245,0.900667686747448,302883.6873682284,0.04461206
82,0.0023213660757792206,0.8933868079520357,0.9570927912144634,20644.07838248748,0.039051484
53,0.00018364685592892925,0.8739996340653535,0.9531932469204076,104496.76045059829,0.054570913
198,0.005108180374898521,0.9831124350349987,0.9407556683860359,106878.2669062216,0.025601652
69,0.09049698555468265,0.9034678242585316,0.9434193405632859,188704.1456988416,0.07018361
9,0.0018762708585324573,0.9111683023458894,0.9987299505501193,93582.67373710817,0.03498091
136,0.01224687744580319,0.9378328822367166,0.9799952232362201,373569.34650859167,0.02254049
33,0.011541486864621036,0.8575650539064307,0.9508802009049505,381164.17997757037,0.020473821
38,0.0002658249824646176,0.9192549975193851,0.9498909667982806,174531.19343103265,0.04638668
78,0.0003628328989316066,0.9760826469770848,0.9359027451854353,316100.79261864396,0.042222846
