Optimizador: ADAM
Schedule: Fix
Número de épocas: 50
Fecha y horario de guardado: 2025-05-20_10-57-28
El mínimo valor de la función pérdida (0.017451787367463112) se obtuvo  con batch size = 38, step size = 0.007069293601470731, optimAux = (0.8721262425650733, 0.9759152297356839) y schAux = ().

Rangos de los hiperparámetros:
límite inferior,límite superior
2,200
-3.9999998,-0.99999994
0.85,0.99
0.9,0.9999

Resultados:
batch size,step size,optimAux0,optimAux1,loss
45,0.07584287852852878,0.8589815759611683,0.9851859638766846,0.13353758
91,0.0012754081514888436,0.9034532124889928,0.9001933857697857,0.028085409
17,0.0036164404539450598,0.9665699454064285,0.9171290369783671,0.025437668
8,0.00023069644075779226,0.9585033264407942,0.9588786643779486,0.028815145
174,0.06487914767774855,0.9730573276517619,0.9526685492802083,0.056576602
95,0.0007252530695059347,0.9472203167297412,0.9087699779084937,0.031093592
53,0.004175724143965611,0.9031884237756634,0.9809755755375087,0.025707124
120,0.0013571107387743398,0.9220274267179903,0.9530778745871006,0.028111039
148,0.011897515982600285,0.9528212906103539,0.9407603031782549,0.025587711
85,0.05967260981273979,0.9387707569470727,0.9854980858832492,0.16284561
157,0.0003926400257192192,0.8766619156902111,0.9365184125204465,0.04523687
152,0.0002879647433009715,0.8711343379531851,0.9255150064159604,0.047594883
74,0.0014622588150502865,0.9513209685553391,0.9577910804002152,0.024834072
41,0.00013256517371639114,0.9611624132740155,0.9864023163068929,0.045263827
90,0.00038283273366309864,0.8501998761110598,0.9592912841251628,0.039449185
26,0.03832321923218875,0.9771096737481021,0.9914752896251006,0.066165075
68,0.015939731570541297,0.8696476633670629,0.9784944606548824,0.028971702
174,0.00012542119813401846,0.901336000830091,0.9779602906041137,0.06186222
168,0.010199586532671508,0.9247334886284897,0.9156237341334656,0.026669614
115,0.0009904993615787064,0.962967315055455,0.943056075289692,0.02766664
41,0.05566792164398262,0.8650476352169617,0.9130541701782742,0.19713187
122,0.016407312231110173,0.9324273024638919,0.976080847200179,0.020938635
186,0.005858655496995283,0.9400719750770874,0.9655373670074807,0.021708522
89,0.023654882138140886,0.9808187026444597,0.9948023212532207,0.023880802
84,0.03657385615991618,0.8799875699256102,0.9250053842899857,0.028621541
115,0.0032799685511537254,0.9676291357638467,0.9359778403905,0.021119474
66,0.020802986344555623,0.9120162284285087,0.9680118841018677,0.03004417
190,0.00036634521962422524,0.8601225637116625,0.9479021549255213,0.04728726
147,0.0001779915365205889,0.9581215135852779,0.907598032919729,0.053781748
72,0.06754382523243697,0.9625586714687555,0.9653492747350025,0.08997885
105,0.00016408724414132585,0.928709086735553,0.9462186548867951,0.05172228
54,0.08038611080841183,0.9172890469873696,0.9776038190173901,0.23364559
112,0.05400295397926252,0.971129763008974,0.9646971707486717,0.15269443
74,0.047445138057312486,0.9748061319514723,0.9457195631881496,0.1206912
189,0.09449507760583167,0.8990878740901018,0.9409950249344834,0.056320406
